session_id,user_id,city,hour,day_of_week,meal_time,user_segment,user_frequency,user_order_count,user_avg_order_value,restaurant_id,restaurant_type,cuisine_type,restaurant_rating,cart_items,cart_size,cart_value,has_main,has_side,has_drink,has_dessert,true_addon,addon_price,addon_category
0,861,Bangalore,15,4,dinner,budget,power,28,346.72,122,chain,Continental,3.6,"Butter Chicken,Salad,Spring Rolls,Paneer Tikka",4,750,1,0,0,0,Dal Makhani,180,Main
1,4556,Delhi,13,4,lunch,budget,new,5,686.04,475,chain,Continental,3.7,"Brownie,Coke,Chicken Wings,Gulab Jamun",4,410,0,0,1,1,Butter Chicken,320,Main
2,2889,Delhi,11,0,lunch,premium,regular,4,449.37,777,independent,Indian,3.8,"Dal Makhani,Naan,Lassi,Butter Chicken",4,610,1,0,1,0,Papad,25,Side
3,3462,Delhi,11,5,lunch,budget,power,21,510.94,402,independent,Mixed,4.7,"Coke,Brownie",2,150,0,0,1,1,Salan,70,Side
4,338,Hyderabad,15,1,dinner,budget,new,11,359.07,41,chain,Continental,3.7,Biryani,1,280,1,0,0,0,Gulab Jamun,80,Dessert
5,392,Bangalore,10,0,breakfast,occasional,new,24,732.74,490,chain,Chinese,3.7,"Gulab Jamun,Paneer Tikka,Biryani",3,580,1,0,0,1,Coke,50,Drink
6,2732,Bangalore,10,0,breakfast,occasional,new,28,286.31,462,chain,Indian,4.4,"Butter Chicken,Roti,Lassi",3,420,1,0,1,0,Raita,60,Side
7,864,Mumbai,11,4,lunch,premium,new,13,436.51,407,chain,Indian,4.2,Butter Chicken,1,320,1,0,0,0,Papad,25,Side
8,3061,Kolkata,19,3,dinner,premium,regular,25,854.41,331,independent,Chinese,3.7,Biryani,1,280,1,0,0,0,Gulab Jamun,80,Dessert
9,5865,Bangalore,14,5,lunch,occasional,new,26,969.96,318,chain,Indian,3.7,"Butter Chicken,Salad,Roti,Spring Rolls",4,560,1,0,0,0,Naan,40,Bread
